id,polarity,movie_id,rating,testset,valence
1,0,0,2,1,-0.6380655206254066
2,0,10000,4,1,-0.02851643344817024
3,0,10001,1,1,-1.7778786162446758
4,0,10002,3,1,-1.4455787347945948
5,0,10003,3,1,0.7480284846877093
6,0,10004,2,1,-0.7904939702194667
7,0,10005,2,1,-2.5344365368149298
8,0,10006,2,1,-2.289254072287762
9,0,10007,4,1,-0.9183546382125931
10,0,10008,4,1,0.2056610601222035
11,0,10009,3,1,-1.8028318935287355
12,0,1000,3,1,-0.29510150903876997
13,0,10010,2,1,-1.5239164676260126
14,0,10011,1,1,-1.3825483750451766
15,0,10012,1,1,-2.2440795779985265
16,0,10013,4,1,-1.9045228707282535
17,0,10014,2,1,-2.057049731803403
18,0,10015,4,1,0.3863287632778058
19,0,10016,3,1,0.2325116000235968
20,0,10017,1,1,0.9146831293933583
21,0,10018,1,1,-2.796229300853511
22,0,10019,1,1,-2.1696247823871144
23,0,1001,4,1,-0.39525595109645184
24,0,10020,1,1,-1.230052181882182
25,0,10021,3,1,-0.7026865557633093
26,0,10022,4,1,-1.1379875397787584
27,0,10023,4,1,0.5612628979412755
28,0,10024,3,1,-0.943282881576619
29,0,10025,2,1,-1.8416146541786365
30,0,10026,3,1,-1.0265102159527109
31,0,10027,1,1,-0.4963603320011499
32,0,10028,3,1,-1.625665476935782
33,0,10029,1,1,-2.441866615450887
34,0,1002,3,1,-0.8809196594357708
35,0,10030,3,1,-2.089388837949345
36,0,10031,2,1,-1.2101482621417232
37,0,10032,1,1,-0.4803967316017025
38,0,10033,1,1,-0.9407730857300762
39,0,10034,1,1,-2.509510915900833
40,0,10035,1,1,-1.0390371220450236
41,0,10036,1,1,-1.9458118689219361
42,0,10037,1,1,-1.0470986638364208
43,0,10038,4,1,-1.2726768005004907
44,0,10039,1,1,-0.3650582819474612
45,0,1003,4,1,-0.4400944245062903
46,0,10040,2,1,0.7151717084123417
47,0,10041,1,1,-1.3699175489039368
48,0,10042,1,1,-0.7000817212066738
49,0,10043,1,1,0.09953646652806848
